ds,y,price,promotion
2023-01-01,104.63123383492655,97.02696247346589,0
2023-01-02,100.92029511537295,97.02696247346589,0
2023-01-03,120.62806363609256,97.02696247346589,1
2023-01-04,110.30295811782085,97.02696247346589,0
2023-01-05,112.47334088186254,97.02696247346589,0
2023-01-06,,97.02696247346589,0
2023-01-07,125.01598641190593,97.02696247346589,0
2023-01-08,121.15762354629379,97.91899987238023,0
2023-01-09,120.093000073479,97.91899987238023,0
2023-01-10,118.4739655807261,97.91899987238023,0
2023-01-11,114.8457047518287,97.91899987238023,0
2023-01-12,116.75570752097975,,0
2023-01-13,122.84919956128236,,0
2023-01-14,128.04562500297564,97.91899987238023,0
2023-01-14,128.04562500297564,97.91899987238023,0
2023-01-15,127.82283270008986,98.58599046579386,0
2023-01-16,121.82338096831424,98.58599046579386,0
2023-01-17,113.42119727775808,98.58599046579386,0
2023-01-18,113.50296100628613,98.58599046579386,0
2023-01-19,100.80092635283683,98.58599046579386,0
2023-01-20,107.31114381555437,98.58599046579386,0
2023-01-21,115.55184370793451,98.58599046579386,0
2023-01-22,113.23010214744981,98.83046525100234,0
2023-01-23,114.57624451656068,98.83046525100234,0
2023-01-24,91.33111282763892,98.83046525100234,0
2023-01-25,89.06752992783181,98.83046525100234,0
2023-01-26,79.63978808590718,98.83046525100234,0
2023-01-27,86.25907081737968,98.83046525100234,0
2023-01-28,92.1524448877722,98.83046525100234,0
2023-01-28,92.1524448877722,98.83046525100234,0
2023-01-29,104.0036718205896,94.73602637210932,0
2023-01-30,115.55866279969177,94.73602637210932,0
2023-01-31,110.90525083528645,94.73602637210932,0
2023-02-01,94.21364413327613,94.73602637210932,0
2023-02-02,96.91272483861869,94.73602637210932,0
2023-02-03,102.00796876329827,94.73602637210932,0
2023-02-04,116.00826843442262,94.73602637210932,0
2023-02-05,120.45955731442577,,0
2023-02-06,120.6265775848168,99.00628129967163,0
2023-02-07,115.92921585882172,99.00628129967163,0
2023-02-08,110.2247610105374,99.00628129967163,0
2023-02-09,105.24965428825837,99.00628129967163,0
2023-02-10,104.61065888973289,99.00628129967163,0
2023-02-11,101.23125549690509,,0
2023-02-12,107.41722204445766,99.928834336686,0
2023-02-13,111.48185932230686,99.928834336686,0
2023-02-13,111.48185932230686,99.928834336686,0
2023-02-14,,99.928834336686,0
2023-02-15,127.49643785680558,99.928834336686,1
2023-02-15,127.49643785680558,99.928834336686,1
2023-02-16,116.43779907158944,99.928834336686,0
2023-02-17,113.26849609739783,99.928834336686,0
2023-02-18,122.0206445857872,99.928834336686,0
2023-02-19,117.86285046348148,97.56875180867257,0
2023-02-20,117.16062124281781,97.56875180867257,0
2023-02-21,103.89300978644879,97.56875180867257,0
2023-02-22,96.4148007637546,97.56875180867257,0
2023-02-23,93.13509397221218,97.56875180867257,0
2023-02-24,101.77449469497284,,0
2023-02-25,119.81687915030821,97.56875180867257,0
2023-02-26,119.48936000112798,99.44293371261779,0
2023-02-27,116.52543324577849,99.44293371261779,0
2023-02-27,116.52543324577849,99.44293371261779,0
2023-02-28,102.44390261311862,99.44293371261779,0
2023-03-01,99.46192599930481,99.44293371261779,0
2023-03-02,107.21271661270035,99.44293371261779,0
2023-03-03,117.76860040731118,99.44293371261779,0
2023-03-04,121.32965779954534,99.44293371261779,0
2023-03-05,139.32701417949278,97.62201362130666,0
2023-03-06,129.61049703003005,97.62201362130666,0
2023-03-07,131.95326402356477,97.62201362130666,0
2023-03-08,125.20744130971954,97.62201362130666,0
2023-03-09,122.48496543061222,97.62201362130666,0
2023-03-10,123.31740357955414,97.62201362130666,0
2023-03-11,123.88412702127494,97.62201362130666,0
2023-03-12,122.69650386292547,97.68057388905092,0
2023-03-13,128.5470846533206,97.68057388905092,0
2023-03-14,123.62103577406818,97.68057388905092,0
2023-03-15,116.32242735450257,97.68057388905092,0
2023-03-16,103.57530824533048,97.68057388905092,0
2023-03-17,106.4677088170283,97.68057388905092,0
2023-03-18,103.10981446186955,97.68057388905092,0
2023-03-19,112.37234935487139,96.09189159964075,0
2023-03-20,106.37896732842263,96.09189159964075,0
2023-03-21,108.00709938756961,96.09189159964075,0
2023-03-22,100.66820652109944,96.09189159964075,0
2023-03-23,99.03548293697591,96.09189159964075,0
2023-03-24,104.6637691684297,96.09189159964075,0
2023-03-25,116.04883383708386,96.09189159964075,0
2023-03-26,117.15167576896042,99.89583186501767,0
2023-03-27,116.6669058731181,99.89583186501767,0
2023-03-28,,99.89583186501767,0
2023-03-29,99.99109185661302,99.89583186501767,0
2023-03-30,106.55347180291218,99.89583186501767,0
2023-03-31,109.83762640332372,99.89583186501767,0
2023-04-01,121.7749702341373,99.89583186501767,0
2023-04-02,102.49676708435886,104.83563771036697,0
2023-04-03,102.99134711927064,104.83563771036697,0
2023-04-04,97.3137678951512,104.83563771036697,0
2023-04-05,90.85061554645883,104.83563771036697,0
2023-04-06,97.59395974493046,,0
2023-04-07,99.9647729722791,104.83563771036697,0
